Journal,Year,Authors,Title,Paper Ref,Country
Clinical Spine Surgery : A Spine Publication,2018,"Fujiwara H

Oda T

Makino T

Moriguchi Y

Yonenobu K

Kaito T",Impact of Cervical Sagittal Alignment on Axial Neck Pain and Health-related Quality of Life After Cervical Laminoplasty in Patients With Cervical Spondylotic Myelopathy or Ossification of the Posterior Longitudinal Ligament: A Prospective Comparative Study.,"Clinical Spine Surgery : A Spine Publication. 31(4):E245-E251, 2018 05.",Japan
BMC Musculoskeletal Disorders,2019,"Li Y

Yan X

Cui W

Zhang Y

Li C",The effect of dural release on extended laminoplasty for the treatment of multi-level cervical myelopathy.,"BMC Musculoskeletal Disorders. 20(1):181, 2019 May 01.",China
Spine,2019,"Kim EJ

Chotai S

Wick JB

Khan I

Sivaganesan A

Bydon M

Archer KR

Devin CJ",Factors Associated With Return-to-Work Following Cervical Spine Surgery in Non-Worker's Compensation Setting.,"Spine. 44(13):903-907, 2019 Jul 01.",United States
Spine,2019,"Takasawa E

Sorimachi Y

Iizuka Y

Tsunoda D

Mieda T

Iizuka H

Chikuda H",Risk Factors for Rapidly Progressive Neurological Deterioration in Cervical Spondylotic Myelopathy.,"Spine. 44(12):E723-E730, 2019 Jun 15.",Japan
Spine,2019,"Goh GS

Liow MHL

Yeo W

Ling ZM

Guo CM

Yue WM

Tan SB

Chen LTJ","Poor Baseline Mental Health Does Not Influence Improvement in Patient-reported Outcomes, Satisfaction, and Return to Work Two Years After Single-level Anterior Cervical Discectomy and Fusion.","Spine. 44(12):839-847, 2019 Jun 15.",Singapore
Spine,2019,"Asher AL

Devin CJ

Weisenthal BM

Pennings J

Khan I

Archer KR

Sivaganesan A

Chotai S

Bydon M

Nian H

Harrell FE Jr

McGirt MJ

Mummaneni P

Bisson EF

Shaffrey C

Foley KT

for QOD Vanguard Sites",Effect of Modified Japanese Orthopedic Association Severity Classifications on Satisfaction With Outcomes 12 Months After Elective Surgery for Cervical Spine Myelopathy.,"Spine. 44(11):801-808, 2019 Jun 01.",United States
Spine,2019,"Hirota R

Miyakoshi N

Yoshimoto M

Hongo M

Hamada S

Kasukawa Y

Oshigiri T

Ishikawa Y

Iesato N

Kudo D

Tanimoto K

Terashima Y

Takebayashi T

Shimada Y

Yamashita T","Comparison of Health-related Quality of Life Between Double-door Laminoplasty and Selective Laminoplasty for Degenerative Cervical Myelopathy, With a Minimum Follow-up of 5 Years.","Spine. 44(4):E211-E218, 2019 02 15.",Japan
Clinical Spine Surgery : A Spine Publication,2018,"Miller J

Sasso R

Anderson P

Riew KD

McPhilamy A

Gianaris T",Adjacent Level Degeneration: Bryan Total Disc Arthroplasty Versus Anterior Cervical Discectomy and Fusion.,"Clinical Spine Surgery : A Spine Publication. 31(2):E98-E101, 2018 03.",United States
Chinese Medical Journal,2014,"Qi M. 

Chen H.J. 

Cao P.  

Tian Y. 

Yuan W.",Incidence and risk factors analysis of heterotopic ossification after cervical disc replacement.,"Chinese Medical Journal. 127 (22) (pp 3871-3872), 2014. Date of Publication: 2014.",China
Clinical Spine Surgery : A Spine Publication,2018,"Rhee JM

Shi WJ

Cyriac M

Kim JY

Zhou F

Easley KA

Patel A","The P-mJOA: A Patient-derived, Self-reported Outcome Instrument for Evaluating Cervical Myelopathy: Comparison with the mJOA.","Clinical Spine Surgery : A Spine Publication. 31(2):E115-E120, 2018 03.",United States
Chinese Medical Journal,2015,"Ren D.-J.

Li F.

Zhang Z.-C.

Kai G.

Shan J.-L.

Zhao G.-M.

Sun T.-S.",Comparison of functional and radiological outcomes between two posterior approaches in the treatment of multilevel cervical spondylotic myelopathy.,"Chinese Medical Journal. 128 (15) (pp 2054-2058), 2015. Date of Publication: 08 Jan 2015.",China
Spine,2019,"Kato S

Oshima Y

Matsubayashi Y

Taniguchi Y

Tanaka S

Takeshita K",Minimum Clinically Important Difference and Patient Acceptable Symptom State of Japanese Orthopaedic Association Score in Degenerative Cervical Myelopathy Patients.,"Spine. 44(10):691-697, 2019 May 15.",Japan
Chinese Medical Journal,2014,"Zhou F.F.

Zhang Y.L.

Sun Y.

Zhang F.S.

Pan S.F.

Diao Y.Z.

Chen X.

Zhao Y.B.",Profiles of and correlation between objective and subjective outcome assessments following open-door laminoplasty for cervical spondylotic myelopathy.,"Chinese Medical Journal. 127 (14) (pp 2659-2663), 2014. Date of Publication: 2014.",China
Spine,2019,"Hitchon PW

Woodroffe RW

Noeller JA

Helland L

Hramakova N

Nourski KV",Anterior and Posterior Approaches for Cervical Myelopathy: Clinical and Radiographic Outcomes.,"Spine. 44(9):615-623, 2019 May 01.",United States
Chinese Medical Journal,2014,"Tang Y.C.

Yu M.

Liu Z.J.

Sun Y.

Liu X.G.",Influence of developmental cervical stenosis on dural sac space.,"Chinese Medical Journal. 127 (22) (pp 3857-3861), 2014. Date of Publication: 2014.",China
Spine,2018,"Kimura A

Shiraishi Y

Inoue H

Endo T

Takeshita K",Predictors of Persistent Axial Neck Pain After Cervical Laminoplasty.,"Spine. 43(1):10-15, 2018 Jan 01.",Japan
Spine,2019,"Pratali RR

Smith JS

Ancheschi BC

Maranho DA

Savarese A

Nogueira-Barbosa MH

Herrero CFPS",A Technique for Dynamic Cervical Magnetic Resonance Imaging Applied to Cervical Spondylotic Myelopathy: A Reliability Study.,"Spine. 44(1):E26-E32, 2019 Jan 01.",Brazil
,2014,"Hiroshi 

Takahashia 

Yasuchika 

Aokia 

Arata

Nakajimaa

Masato

Sonobea

Fumiaki

Terajimaa

Masahiko

Saitoa

Shinji

Taniguchia

Manabu

Yamadaa

Fusako

Watanabea

Takeo

Furuyab

Masao

Kodab

Masashi

Yamazakic

Kazuhisa

Takahashib

Koichi

Nakagawaa",Phosphorylated neurofilament subunit NF-H becomes elevated in the cerebrospinal fluid of patients with acutely worsening symptoms of compression myelopathy.,,Japan
Spine,2018,"Isogai N

Nagoshi N

Iwanami A

Kono H

Kobayashi Y

Tsuji T

Fujita N

Yagi M

Watanabe K

Kitamura K

Shiono Y

Nakamura M

Matsumoto M

Ishii K

Yamane J",Surgical Treatment of Cervical Spondylotic Myelopathy in the Elderly: Outcomes in Patients Aged 80 Years or Older.,"Spine. 43(24):E1430-E1436, 2018 Dec 15.",Japan
Spine,2019,"Segal DN

Wilson JM

Staley C

Yoon ST",Outpatient and Inpatient Single-level Cervical Total Disc Replacement: A Comparison of 30-day Outcomes.,"Spine. 44(1):79-83, 2019 Jan 01.",United States
Spine,2019,"Haddas R

Ju KL",Gait Alteration in Cervical Spondylotic Myelopathy Elucidated by Ground Reaction Forces.,"Spine. 44(1):25-31, 2019 Jan 01.",United States
Journal of Clinical Neuroscience,2014,"Cody J.P.  

Kang D.G.  

Tracey R.W.  

Wagner S.C. 

Rosner M.K.  

Lehman R.A.",Outcomes following cervical disc arthroplasty: A retrospective review.,"Journal of Clinical Neuroscience. 21 (11) (pp 1901-1904), 2014. Date of Publication: 01 Nov 2014.",USA
Spine,2018,"He S

Feng H

Lan Z

Lai J

Sun Z

Wang Y

Wang J

Ren Z

Huang F

Xu F",A Randomized Trial Comparing Clinical Outcomes Between Zero-Profile and Traditional Multilevel Anterior Cervical Discectomy and Fusion Surgery for Cervical Myelopathy.,"Spine. 43(5):E259-E266, 2018 03 01.",China
Journal of Clinical Neuroscience,2014,"Tracey R.W.  

Kang D.G.  

Cody J.P.  

Wagner S.C. 

Rosner M.K. 

Lehman R.A.",Outcomes of single-level cervical disc arthroplasty versus anterior cervical discectomy and fusion.,"Journal of Clinical Neuroscience. 21 (11) (pp 1905-1908), 2014. Date of Publication: 01 Nov 2014.",USA
Spine,2018,"Kato S

Nouri A

Wu D

Nori S

Tetreault L

Fehlings MG",Impact of Cervical Spine Deformity on Preoperative Disease Severity and Postoperative Outcomes Following Fusion Surgery for Degenerative Cervical Myelopathy: Sub-analysis of AOSpine North America and International Studies.,"Spine. 43(4):248-254, 2018 02 15.",Canada
Spine,2018,"Yamada T

Yoshii T

Yamamoto N

Hirai T

Inose H

Kato T

Kawabata S

Okawa A",Clinical Outcomes of Cervical Spinal Surgery for Cervical Myelopathic Patients With Coexisting Lumbar Spinal Canal Stenosis (Tandem Spinal Stenosis): A Retrospective Analysis of 297 Cases.,"Spine. 43(4):E234-E241, 2018 02 15.",Japan
Spine,2018,"Cheung PWH

Wong CKH

Lau ST

Cheung JPY",Psychometric Validation of the Adapted Traditional Chinese (Hong Kong) Version of the Japanese Orthopaedic Association Cervical Myelopathy Evaluation Questionnaire (JOACMEQ).,"Spine. 43(4):E242-E249, 2018 02 15.",China
Journal of Clinical Neuroscience,2014,"Wang Z.-D.  

Zhu R.-F. 

Yang H.-L. 

Gan M.-F.  

Zhang S.-K. 

Shen M.-J. 

Chen C. 

Yuan Q.",The application of a zero-profile implant in anterior cervical discectomy and fusion.,"Journal of Clinical Neuroscience. 21 (3) (pp 462-466), 2014. Date of Publication: March 2014.",China
Functional Neurology,2014,"Iwase, 

Inukai, 

Nishimura, 

Sato

Sugenoya",Hemifacial hyperhidrosis associated with ipsilateral/contralateral cervical disc herniation myelopathy. functional considerations on how compression pattern determines the laterality.,"Functional Neurology. 29 (1) (pp 67-73), 2014. Date of Publication: January/March 2014.",Japan
Spine,2018,"Choy W

Lam SK

Smith ZA

Dahdaleh NS",Predictors of 30-Day Hospital Readmission After Posterior Cervical Fusion in 3401 Patients.,"Spine. 43(5):356-363, 2018 03 01.",United States
Spine,2018,"Maki S

Koda M

Ota M

Oikawa Y

Kamiya K

Inada T

Furuya T

Takahashi K

Masuda Y

Matsumoto K

Kojima M

Obata T

Yamazaki M",Reduced Field-of-View Diffusion Tensor Imaging of the Spinal Cord Shows Motor Dysfunction of the Lower Extremities in Patients With Cervical Compression Myelopathy.,"Spine. 43(2):89-96, 2018 Jan 15.",Japan
Spine,2018,"Zhou F

Ju KL

Zhao Y

Zhang F

Pan S

Heller JG

Sun Y",Progressive Bone Formation After Cervical Disc Replacement: Minimum of 5-Year Follow-up.,"Spine. 43(3):E163-E170, 2018 02 01.",China
Journal of Neurology,2014,"Bednarik, 

Kadanka, 

Kadanka Jr., 

Kerkovsky, 

Jakubcova",Prevalence and imaging characteristics of asymptomatic and symptomatic spondylotic cervical spinal cord compression.,"Journal of Neurology. Conference: Joint Congress of European Neurology 2014 Istanbul Turkey. Conference Start: 20140531 Conference End: 20140603. Conference Publication: (var.pagings). 261  (pp S167), 2014. Date of Publication: May 2014.",Czech Republic
Spine,2018,"Yoshida G

Alzakri A

Pointillart V

Boissiere L

Obeid I

Matsuyama Y

Vital JM

Gille O",Global Spinal Alignment in Patients With Cervical Spondylotic Myelopathy.,"Spine. 43(3):E154-E162, 2018 02 01.",France
International Journal of Clinical and Experimental Medicine,2015,"Liu, 

Xiong

Long,

Shu, 

Huang, 

Yang, 

Liu",A new source of structural autograft for ACDF surgery: Cervical laminae.,"International Journal of Clinical and Experimental Medicine. 8 (6) (pp 9100-9106), 2015. Date of Publication: 30 Jun 2015.",China
Spine,2017,"Stephens BF

Rhee JM

Neustein TM

Arceo R",Laminoplasty Does not Lead to Worsening Axial Neck Pain in the Properly Selected Patient With Cervical Myelopathy: A Comparison With Laminectomy and Fusion.,"Spine. 42(24):1844-1850, 2017 Dec 15.",United States
International Journal of Clinical and Experimental Medicine,2015,"Yue, 

Chen, 

Ma, 

Xi, 

Xiang, 

Hu, 

Zhang",One stage laminoplasty and posterior herniotomy for the treatment of myelopathy caused by cervical stenosis with cervical disc herniation.,"International Journal of Clinical and Experimental Medicine. 8 (6) (pp 9565-9569), 2015. Date of Publication: 30 Jun 2015.",China
Spine,2017,"Watanabe K

Hirano T

Katsumi K

Ohashi M

Shoji H

Yamazaki A

Izumi T

Hasegawa K

Ito T

Endo N",Surgical Outcomes of Posterior Spinal Fusion Alone Using Cervical Pedicle Screw Constructs for Cervical Disorders Associated With Athetoid Cerebral Palsy.,"Spine. 42(24):1835-1843, 2017 Dec 15.",Japan
International Journal of Clinical and Experimental Medicine,2015,"Wu, 

Luo, 

Yan, 

Qian

Luo

Ye",Anatomy-related risk factors for the subsidence of titanium mesh cage in cervical reconstruction after one-level corpectomy.,"International Journal of Clinical and Experimental Medicine. 8 (5) (pp 7405-7411), 2015. Date of Publication: 2015.",China
Spine,2017,"Hyun SJ

Kim KJ

Jahng TA

Kim HJ",Clinical Impact of T1 Slope Minus Cervical Lordosis After Multilevel Posterior Cervical Fusion Surgery: A Minimum 2-Year Follow Up Data.,"Spine. 42(24):1859-1864, 2017 Dec 15.",South Korea
Spine,2017,"Nouri A

Martin AR

Kato S

Reihani-Kermani H

Riehm LE

Fehlings MG","The Relationship Between MRI Signal Intensity Changes, Clinical Presentation, and Surgical Outcome in Degenerative Cervical Myelopathy: Analysis of a Global Cohort.","Spine. 42(24):1851-1858, 2017 Dec 15.",Canada
Spine,2018,"Badhiwala JH

Witiw CD

Nassiri F

Akbar MA

Jaja B

Wilson JR

Fehlings MG",Minimum Clinically Important Difference in SF-36 Scores for Use in Degenerative Cervical Myelopathy.,"Spine. 43(21):E1260-E1266, 2018 Nov 01.",Canada
Spine,2018,"Diebo BG

Lavian JD

Liu S

Shah NV

Murray DP

Beyer GA

Segreto FA

Maffucci F

Poorman GW

Cherkalin D

Torre B

Vasquez-Montes D

Yoshihara H

Cukor D

Naziri Q

Passias PG

Paulino CB",The Impact of Comorbid Mental Health Disorders on Complications Following Cervical Spine Surgery With Minimum 2-Year Surveillance.,"Spine. 43(21):1455-1462, 2018 Nov 01.",United States
Spine,2019,"Haddas R

Lieberman I

Boah A

Arakal R

Belanger T

Ju KL",Functional Balance Testing in Cervical Spondylotic Myelopathy Patients.,"Spine. 44(2):103-109, 2019 Jan 15.",United States
Spine,2019,"Horowitz JA

Puvanesarajah V

Jain A

Raad M

Gjolaj JP

Shen FH

Hassanzadeh H",Fragility Fracture Risk in Elderly Patients With Cervical Myelopathy.,"Spine. 44(2):96-102, 2019 Jan 15.",United States
PLoS ONE [Electronic Resource],2018,"Hilton B

Tempest-Mitchell J

Davies B

Kotter M",Assessment of degenerative cervical myelopathy differs between specialists and may influence time to diagnosis and clinical outcomes.,"PLoS ONE [Electronic Resource]. 13(12):e0207709, 2018.",UK
Neurologia i Neurochirurgia Polska,2014,"Siemionow, 

Tyrakowski, 

Patel

Neckrysh",Comparison of perioperative complications following staged versus one-day anterior and posterior cervical decompression and fusion crossing the cervico-thoracic junction.,"Neurologia i Neurochirurgia Polska. 48 (6) (pp 403-409), 2014. Date of Publication: 2014.",Poland
BMC Musculoskeletal Disorders,2019,"Huang Y

Lan Z

Xu W",Analysis of sagittal alignment parameters following anterior cervical hybrid decompression and fusion of multilevel cervical Spondylotic myelopathy.,"BMC Musculoskeletal Disorders. 20(1):1, 2019 Jan 05.",China
Journal of Clinical Laboratory Analysis,2019,"Song DW

Wu YD

Tian DD",Association of VDR-FokI and VDBP-Thr420Lys polymorphisms with cervical spondylotic myelopathy: A case-control study in the population of China.,"Journal of Clinical Laboratory Analysis. 33(2):e22669, 2019 Feb.",China
Magnetic Resonance Imaging,2014,"Hori, 

Suzuki, 

Tanaka, 

Fukunaga, 

Suzuki, 

Kamagata, 

Aoki

Tsutsumi, 

Yasumoto, 

Ito, 

Kyogoku

Nakamura, 

Tabuchi

Fukunaga

Masutani",Cervical spondylosis: Evaluation of microstructural changes in spinal cord white matter and gray matter by diffusional kurtosis imaging.,"Magnetic Resonance Imaging. 32 (5) (pp 428-432), 2014. Date of Publication: June 2014.",Japan
BMC Musculoskeletal Disorders,2018,"Wang B

Lu G

Kuang L",Anterior cervical discectomy and fusion with stand-alone anchored cages versus posterior laminectomy and fusion for four-level cervical spondylotic myelopathy: a retrospective study with 2-year follow-up.,"BMC Musculoskeletal Disorders. 19(1):216, 2018 Jul 12.",China
Neuroreport,2018,"Wang L

Yu B

Li Q

Qi F

Guo Q",Sensorimotor cortex atrophy in patients with cervical spondylotic myelopathy.,"Neuroreport. 29(10):826-832, 2018 07 04.",China
Spine Journal,2014,"Vavasour

Li 

Rauscher

Mackay

Meyers, 

Macmillan

Madler

Vertinsky

Venu

Curt",Increased spinal cord movements in cervical spondylotic myelopathy.,"Spine Journal. 14 (10) (pp 2344-2354), 2014. Date of Publication: 01 Oct 2014.",Canada
Spine,2018,"Machino M

Ando K

Kobayashi K

Ito K

Tsushima M

Morozumi M

Tanaka S

Ota K

Ito K

Kato F

Ishiguro N

Imagama S",Alterations in Intramedullary T2-weighted Increased Signal Intensity following Laminoplasty in Cervical Spondylotic Myelopathy Patients: Comparison Between Pre- and Postoperative Magnetic Resonance Images.,"Spine. 43(22):1595-1601, 2018 Nov 15.",Japan
BMC Musculoskeletal Disorders,2018,"Hirai T

Yoshii T

Nagoshi N

Takeuchi K

Mori K

Ushio S

Iwanami A

Yamada T

Seki S

Tsuji T

Fujiyoshi K

Furukawa M

Nishimura S

Wada K

Furuya T

Matsuyama Y

Hasegawa T

Takeshita K

Kimura A

Abematsu M

Haro H

Ohba T

Watanabe M

Katoh H

Watanabe K

Ozawa H

Kanno H

Imagama S

Ando K

Fujibayashi S

Koda M

Yamazaki M

Matsumoto M

Nakamura M

Okawa A

Kawaguchi Y",Distribution of ossified spinal lesions in patients with severe ossification of the posterior longitudinal ligament and prediction of ossification at each segment based on the cervical OP index classification: a multicenter study (JOSL CT study).,"BMC Musculoskeletal Disorders. 19(1):107, 2018 04 05.",Japan
Medicine,2019,"Al Kaissi A

Ryabykh S

Pavlova OM

Ochirova P

Kenis V

Chehida FB

Ganger R

Grill F

Kircher SG",The Managment of cervical spine abnormalities in children with spondyloepiphyseal dysplasia congenita: Observational study.,"Medicine. 98(1):e13780, 2019 Jan.",Austria
World Neurosurgery,2014,"Tetreault 

Nouri

Fehlings

Singh
 
Fawcett",Predictors of outcome in patients with cervical spondylotic myelopathy undergoing surgical treatment: A survey of members from AOSpine International.,"World Neurosurgery. 81 (3-4) (pp 623-633), 2014. Date of Publication: March-April 2014.",Canada
Medicine,2018,"Zhao YJ

Cheng C

Chen HW

Li M

Wang L

Guo ZY",Limited laminectomy and foraminal decompression combined with internal fixation for treating multi-segment cervical spondylotic myelopathy: Does it effectively improve neurological function and prevent C5 palsy?.,"Medicine. 97(47):e13327, 2018 Nov.",China
Medicine,2018,"Choi I

Roh SW

Rhim SC

Jeon SR",The time course of cervical alignment after cervical expansive laminoplasty: Determining optimal cut-off preoperative angle for predicting postoperative kyphosis.,"Medicine. 97(47):e13335, 2018 Nov.",South Korea
World Neurosurgery,2015,"Tetreault

Nouri 

Singh 

Nater

Fehlings

Fawcett",An assessment of the key predictors of perioperative complications in patients with cervical spondylotic myelopathy undergoing surgical treatment: Results from a survey of 916 AOSpine international members.,"World Neurosurgery. 83 (5) (pp 679-690), 2014. Date of Publication: 01 May 2015.",Canada
Spine,2018,"Takeoka Y

Kaneyama S

Sumi M

Kasahara K

Kanemura A

Takabatake M

Hirata H

Tsubosaka M",Postoperative Walking Ability of Non-ambulatory Cervical Myelopathy Patients.,"Spine. 43(16):E927-E934, 2018 08.",Japan
Spine Journal,2014,"Grauvogel, 

Scheiwe

Kaminsky",Use of Piezosurgery for removal of retrovertebral body osteophytes in anterior cervical discectomy.,"Spine Journal. 14 (4) (pp 628-636), 2014. Date of Publication: 01 Apr 2014.",Germany
Spine,2018,"Passias PG

Horn SR

Bortz CA

Ramachandran S

Burton DC

Protopsaltis T

Lafage R

Lafage V

Diebo BG

Poorman GW

Segreto FA

Smith JS

Ames C

Shaffrey CI

Kim HJ

Neuman B

Daniels AH

Soroceanu A

Klineberg E

International Spine Study Group (ISSG)",The Relationship Between Improvements in Myelopathy and Sagittal Realignment in Cervical Deformity Surgery Outcomes.,"Spine. 43(16):1117-1124, 2018 08.",United States
Spine,2018,"Hopkins BS

Weber KA 2nd

Cloney MB

Paliwal M

Parrish TB

Smith ZA",Tract-Specific Volume Loss on 3T MRI in Patients With Cervical Spondylotic Myelopathy.,"Spine. 43(20):E1204-E1209, 2018 Oct 15.",United States
Spine Journal,2015,"Wang, 

Lubelski, 

Benzel, 

Mroz

Abdullah 

Steinmetz",Rates of anterior cervical discectomy and fusion after initial posterior cervical foraminotomy.,"Spine Journal. 15 (5) (pp 971-976), 2015. Date of Publication: 01 May 2015.",USA
Spine Journal,2014,"Chung, 

Kim, 

Jung, 

Lee",Clinical adjacent-segment pathology after anterior cervical discectomy and fusion: Results after a minimum of 10-year follow-up.,"Spine Journal. 14 (10) (pp 2290-2298), 2014. Date of Publication: 01 Oct 2014.",South Korea
Neurology India,2017,"John S

Moorthy RK

Sebastian T

Rajshekhar V",Evaluation of hand function in healthy individuals and patients undergoing uninstrumented central corpectomy for cervical spondylotic myelopathy using nine-hole peg test.,"Neurology India. 65(5):1025-1030, 2017 Sep-Oct.",India
Spine Journal,2015,"Tetreault, 

Fehlings

Cote

Kopjar

Arnold",A clinical prediction model to assess surgical outcome in patients with cervical spondylotic myelopathy: Internal and external validations using the prospective multicenter AOSpine North American and international datasets of 743 patients.,"Spine Journal. 15 (3) (pp 388-397), 2015. Date of Publication: 01 Mar 2015.",USA
Spine,2018,"Kopjar B

Bohm PE

Arnold JH

Fehlings MG

Tetreault LA

Arnold PM",Outcomes of Surgical Decompression in Patients With Very Severe Degenerative Cervical Myelopathy.,"Spine. 43(16):1102-1109, 2018 08.",United States
Medicine,2017,"Yu CC

Gao WJ

Yang JS

Gu H

Zhu M

Sun K

Hao DJ",Can tranexamic acid reduce blood loss in cervical laminectomy with lateral mass screw fixation and bone grafting: a retrospective observational study.,"Medicine. 96(5):e6043, 2017 02.",China
Spine Journal,2014,"Du, 

Zhang, 

Shen, 

Zhang,

Ding

Ren",Enlarged laminectomy and lateral mass screw fixation for multilevel cervical degenerative myelopathy associated with kyphosis.,"Spine Journal. 14 (1) (pp 57-64), 2014. Date of Publication: 01 Jan 2014.",China
Spine,2018,"Cloney MB

Smith ZA

Weber KA 2nd

Parrish TB",Quantitative Magnetization Transfer MRI Measurements of the Anterior Spinal Cord Region are Associated With Clinical Outcomes in Cervical Spondylotic Myelopathy.,"Spine. 43(10):675-680, 2018 05 15.",United States
Spine Journal,2014,"Arnold

Fehlings

Massicotte

Yoon

Vaccaro

Brodke 

Shaffrey 

Smith 

Woodard

Banco

Chapman

Janssen 

Bono

Sasso

Dekutoski

Gokaslan",Mild diabetes is not a contraindication for surgical decompression in cervical spondylotic myelopathy: Results of the AOSpine North America multicenter prospective study (CSM).,"Spine Journal. 14 (1) (pp 65-72), 2014. Date of Publication: 01 Jan 2014.",Canada
